sample,best available identification,reads/400,,,,
B1235,Clostridiales,1,,,,
B1235,Clostridiales,29,,,,
B1235,Clostridiales,3,,,,
B1235,Clostridiales,9,,,,
B1235,Corynebacterineae,1,,,,
B1235,Corynebacterineae,14,,,,
B1235,Corynebacterineae,4,,,,
B1235,Corynebacterium,2,,,,
B1235,Corynebacterium,2,,,,
B1235,Corynebacterium,36,,,,
B1235,Cupriavidus,1,,,,
B1235,Dermabacter,1,,,,
B1235,Dialister,1,,,,
B1235,Dialister,4,,,,
B1235,Fastidiosipila,1,,,,
B1235,Finegoldia,1,,,,
B1235,Finegoldia,9,,,,
B1235,Lactobacillales,1,,,,
B1235,Lactobacillales,18,,,,
B1235,Mobiluncus,3,,,,
B1235,Pasteurellaceae,1,,,,
B1235,Peptococcus,1,,,,
B1235,Peptoniphilus,1,,,,
B1235,Peptoniphilus,1,,,,
B1235,Peptoniphilus,1,,,,
B1235,Peptoniphilus,1,,,,
B1235,Peptoniphilus,1,,,,
B1235,Peptoniphilus,10,,,,
B1235,Peptoniphilus,40,,,,
B1235,Porphyromonadaceae,1,,,,
B1235,Porphyromonas,1,,,,
B1235,Porphyromonas,11,,,,
B1235,Prevotella,2,,,,
B1235,Prevotella,7,,,,
B1235,Prevotella,9,,,,
B1235,Prevotellaceae,1,,,,
B1235,Prevotellaceae,1,,,,
B1235,Staphylococcus,21,,,,
B1235,unidentified,1,,,,
B1235,unidentified,1,,,,
B1235,unidentified,1,,,,
B1235,unidentified,2,,,,
B1235,unidentified,2,,,,
B1235,unidentified,3,,,,
B1235,unidentified,37,,,,
B1235,Varibaculum,1,,,,
B1235,Veillonellaceae,2,,,,
B1236,Acinetobacter,1,,,,
B1236,Actinobacteridae,1,,,,
B1236,Actinobacteridae,38,,,,
B1236,Actinobacteridae,8,,,,
B1236,Actinomyces,1,,,,
B1236,Actinomyces,13,,,,
B1236,Actinomycetales,1,,,,
B1236,Aerococcaceae,2,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,1,,,,
B1236,Anaerococcus,11,,,,
B1236,Anaerococcus,2,,,,
B1236,Anaerococcus,28,,,,
B1236,Anaerococcus,42,,,,
B1236,Anaerococcus,55,,,,
B1236,Bacteroidetes,1,,,,
B1236,Bacteroidetes,1,,,,
B1236,Bacteroidetes,15,,,,
B1236,Chloroplast,1,,,,
B1236,Corynebacterineae,1,,,,
B1236,Corynebacterineae,1,,,,
B1236,Corynebacterineae,1,,,,
B1236,Corynebacterineae,1,,,,
B1236,Corynebacterineae,2,,,,
B1236,Corynebacterineae,2,,,,
B1236,Corynebacterineae,2,,,,
B1236,Corynebacterineae,3,,,,
B1236,Corynebacterineae,84,,,,
B1236,Corynebacterium,1,,,,
B1236,Corynebacterium,14,,,,
B1236,Corynebacterium,24,,,,
B1236,Dermabacter,9,,,,
B1236,Finegoldia,13,,,,
B1236,Mobiluncus,2,,,,
B1236,Peptoniphilus,5,,,,
B1236,Prevotella,2,,,,
B1236,Propionibacteriaceae,1,,,,
B1236,Turicella,2,,,,
B1237,Actinobacteridae,1,,,,
B1237,Actinobacteridae,1,,,,
B1237,Actinobacteridae,1,,,,
B1237,Aerococcaceae,2,,,,
B1237,Anaerococcus,1,,,,
B1237,Anaerococcus,1,,,,
B1237,Anaerococcus,1,,,,
B1237,Anaerococcus,1,,,,
B1237,Anaerococcus,1,,,,
B1237,Anaerococcus,1,,,,
B1237,Anaerococcus,1,,,,
B1237,Anaerococcus,1,,,,
B1237,Anaerococcus,17,,,,
B1237,Anaerococcus,2,,,,
B1237,Anaerococcus,5,,,,
B1237,Anaerococcus,50,,,,
B1237,Anaerococcus,61,,,,
B1237,Bacillales,1,,,,
B1237,Bacillales,1,,,,
B1237,Bacilli,1,,,,
B1237,Bacilli,1,,,,
B1237,Bacilli,4,,,,
B1237,Bacillus,1,,,,
B1237,Bacteroidetes,2,,,,
B1237,Bradyrhizobiaceae,1,,,,
B1237,Chloroplast,1,,,,
B1237,Chloroplast,2,,,,
B1237,Clostridiales,1,,,,
B1237,Clostridiales,1,,,,
B1237,Corynebacterineae,1,,,,
B1237,Corynebacterineae,1,,,,
B1237,Corynebacterineae,2,,,,
B1237,Corynebacterineae,5,,,,
B1237,Corynebacterium,6,,,,
B1237,Dermabacter,1,,,,
B1237,Enterobacteriaceae,1,,,,
B1237,Fastidiosipila,1,,,,
B1237,Finegoldia,1,,,,
B1237,Finegoldia,1,,,,
B1237,Finegoldia,27,,,,
B1237,Firmicutes,1,,,,
B1237,Firmicutes,1,,,,
B1237,Flavobacteriaceae,1,,,,
B1237,Ignavigranum,1,,,,
B1237,Lactobacillales,1,,,,
B1237,Mobiluncus,1,,,,
B1237,Peptococcus,1,,,,
B1237,Peptoniphilus,1,,,,
B1237,Peptoniphilus,1,,,,
B1237,Peptoniphilus,1,,,,
B1237,Peptoniphilus,1,,,,
B1237,Peptoniphilus,2,,,,
B1237,Peptoniphilus,21,,,,
B1237,Porphyromonadaceae,1,,,,
B1237,Staphylococcaceae,1,,,,
B1237,Staphylococcus,1,,,,
B1237,Staphylococcus,1,,,,
B1237,Staphylococcus,146,,,,
B1237,unidentified,1,,,,
B1237,unidentified,1,,,,
B1237,unidentified,1,,,,
B1237,Varibaculum,1,,,,
B1242,Actinobacteridae,1,,,,
B1242,Actinobacteridae,1,,,,
B1242,Actinobacteridae,1,,,,
B1242,Actinobacteridae,1,,,,
B1242,Actinobacteridae,2,,,,
B1242,Aerococcaceae,4,,,,
B1242,Anaerococcus,1,,,,
B1242,Anaerococcus,1,,,,
B1242,Anaerococcus,1,,,,
B1242,Anaerococcus,1,,,,
B1242,Anaerococcus,1,,,,
B1242,Anaerococcus,1,,,,
B1242,Anaerococcus,1,,,,
B1242,Anaerococcus,1,,,,
B1242,Anaerococcus,14,,,,
B1242,Anaerococcus,3,,,,
B1242,Anaerococcus,3,,,,
B1242,Anaerococcus,4,,,,
B1242,Anaerococcus,4,,,,
B1242,Anaerococcus,53,,,,
B1242,Bacteroidetes,7,,,,
B1242,Branhamella,1,,,,
B1242,Campylobacter,5,,,,
B1242,Chloroplast,1,,,,
B1242,Clostridia,1,,,,
B1242,Clostridiales,1,,,,
B1242,Clostridiales,10,,,,
B1242,Clostridiales,4,,,,
B1242,Corynebacterineae,1,,,,
B1242,Corynebacterineae,1,,,,
B1242,Corynebacterineae,4,,,,
B1242,Corynebacterineae,4,,,,
B1242,Corynebacterium,1,,,,
B1242,Corynebacterium,1,,,,
B1242,Corynebacterium,5,,,,
B1242,Corynebacterium,7,,,,
B1242,Corynebacterium,92,,,,
B1242,Dermabacter,3,,,,
B1242,Dialister,4,,,,
B1242,Finegoldia,1,,,,
B1242,Finegoldia,3,,,,
B1242,Finegoldia,47,,,,
B1242,Lactobacillales,8,,,,
B1242,Mobiluncus,1,,,,
B1242,Peptococcus,1,,,,
B1242,Peptoniphilus,1,,,,
B1242,Peptoniphilus,1,,,,
B1242,Peptoniphilus,1,,,,
B1242,Peptoniphilus,15,,,,
B1242,Peptoniphilus,2,,,,
B1242,Porphyromonas,3,,,,
B1242,Prevotella,1,,,,
B1242,Prevotella,3,,,,
B1242,Staphylococcus,1,,,,
B1242,Staphylococcus,1,,,,
B1242,Staphylococcus,38,,,,
B1242,unidentified,1,,,,
B1242,unidentified,12,,,,
B1242,unidentified,2,,,,
B1242,unidentified,2,,,,
B1242,Veillonellaceae,3,,,,
B1243,Acinetobacter,1,,,,
B1243,Acinetobacter,3,,,,
B1243,Actinobacteridae,1,,,,
B1243,Actinobacteridae,18,,,,
B1243,Aerococcaceae,3,,,,
B1243,Aerococcus,1,,,,
B1243,Anaerococcus,1,,,,
B1243,Anaerococcus,1,,,,
B1243,Anaerococcus,1,,,,
B1243,Anaerococcus,2,,,,
B1243,Anaerococcus,2,,,,
B1243,Anaerococcus,2,,,,
B1243,Anaerococcus,26,,,,
B1243,Anaerococcus,26,,,,
B1243,Anaerococcus,4,,,,
B1243,Anaerococcus,4,,,,
B1243,Aquabacterium,3,,,,
B1243,Arcanobacterium,1,,,,
B1243,Bacilli,1,,,,
B1243,Bacilli,1,,,,
B1243,Bacilli,2,,,,
B1243,Bacteroidetes,1,,,,
B1243,Bacteroidetes,1,,,,
B1243,Bacteroidetes,1,,,,
B1243,Bacteroidetes,6,,,,
B1243,Bradyrhizobiaceae,2,,,,
B1243,Branhamella,11,,,,
B1243,Brevibacterium,3,,,,
B1243,Burkholderiales,1,,,,
B1243,Campylobacter,2,,,,
B1243,Chloroplast,14,,,,
B1243,Cloacibacterium,7,,,,
B1243,Clostridiales,1,,,,
B1243,Clostridiales,12,,,,
B1243,Clostridiales,3,,,,
B1243,Corynebacterineae,2,,,,
B1243,Corynebacterineae,34,,,,
B1243,Corynebacterium,1,,,,
B1243,Corynebacterium,1,,,,
B1243,Corynebacterium,1,,,,
B1243,Corynebacterium,3,,,,
B1243,Corynebacterium,38,,,,
B1243,Dermabacter,9,,,,
B1243,Faecalibacterium,5,,,,
B1243,Finegoldia,1,,,,
B1243,Finegoldia,5,,,,
B1243,Lactobacillales,2,,,,
B1243,Micrococcus,2,,,,
B1243,Moraxellaceae,1,,,,
B1243,Mycobacterium,1,,,,
B1243,Ornithinimicrobium,1,,,,
B1243,Peptoniphilus,11,,,,
B1243,Peptoniphilus,3,,,,
B1243,Porphyromonadaceae,1,,,,
B1243,Porphyromonas,1,,,,
B1243,Porphyromonas,3,,,,
B1243,Prevotella,1,,,,
B1243,Pseudomonas,1,,,,
B1243,Pseudomonas,2,,,,
B1243,Ralstonia,2,,,,
B1243,Rhodococcus,1,,,,
B1243,Sphingomonas,2,,,,
B1243,Staphylococcaceae,1,,,,
B1243,Staphylococcus,81,,,,
B1243,unidentified,1,,,,
B1243,unidentified,1,,,,
B1243,unidentified,1,,,,
B1243,unidentified,1,,,,
B1243,unidentified,3,,,,
B1243,unidentified,5,,,,
B1243,Veillonella,2,,,,
B1246,Actinobacteridae,1,,,,
B1246,Actinobacteridae,17,,,,
B1246,Actinobacteridae,3,,,,
B1246,Actinomyces,1,,,,
B1246,Actinomyces,4,,,,
B1246,Actinomycetales,1,,,,
B1246,Actinomycetales,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,1,,,,
B1246,Anaerococcus,10,,,,
B1246,Anaerococcus,14,,,,
B1246,Anaerococcus,16,,,,
B1246,Anaerococcus,2,,,,
B1246,Anaerococcus,2,,,,
B1246,Anaerococcus,2,,,,
B1246,Anaerococcus,2,,,,
B1246,Anaerococcus,3,,,,
B1246,Anaerococcus,3,,,,
B1246,Anaerococcus,3,,,,
B1246,Anaerococcus,36,,,,
B1246,Anaerococcus,6,,,,
B1246,Anaerococcus,9,,,,
B1246,Bacteroidetes,1,,,,
B1246,Bacteroidetes,2,,,,
B1246,Bacteroidetes,35,,,,
B1246,Campylobacter,5,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,1,,,,
B1246,Clostridiales,13,,,,
B1246,Clostridiales,3,,,,
B1246,Clostridiales,4,,,,
B1246,Clostridiales,8,,,,
B1246,Corynebacterineae,1,,,,
B1246,Corynebacterium,5,,,,
B1246,Fastidiosipila,2,,,,
B1246,Finegoldia,3,,,,
B1246,Firmicutes,1,,,,
B1246,Firmicutes,1,,,,
B1246,Firmicutes,1,,,,
B1246,Firmicutes,1,,,,
B1246,Firmicutes,1,,,,
B1246,Firmicutes,1,,,,
B1246,Firmicutes,1,,,,
B1246,Firmicutes,1,,,,
B1246,Firmicutes,14,,,,
B1246,Fusobacterium,1,,,,
B1246,Peptococcus,2,,,,
B1246,Peptoniphilus,1,,,,
B1246,Peptoniphilus,1,,,,
B1246,Peptoniphilus,1,,,,
B1246,Peptoniphilus,1,,,,
B1246,Peptoniphilus,18,,,,
B1246,Peptoniphilus,35,,,,
B1246,Porphyromonas,1,,,,
B1246,Porphyromonas,3,,,,
B1246,Prevotella,1,,,,
B1246,Pseudonocardia,1,,,,
B1246,Staphylococcaceae,1,,,,
B1246,Staphylococcus,1,,,,
B1246,Staphylococcus,8,,,,
B1246,unidentified,1,,,,
B1246,unidentified,1,,,,
B1246,unidentified,1,,,,
B1246,unidentified,1,,,,
B1246,unidentified,1,,,,
B1246,unidentified,1,,,,
B1246,unidentified,1,,,,
B1246,unidentified,1,,,,
B1246,unidentified,1,,,,
B1246,unidentified,13,,,,
B1246,unidentified,22,,,,
B1246,unidentified,9,,,,
B1246,Varibaculum,1,,,,
B1246,Varibaculum,7,,,,
B1246,Veillonellaceae,3,,,,
B1253,Acinetobacter,4,,,,
B1253,Actinobacteridae,1,,,,
B1253,Actinobacteridae,1,,,,
B1253,Actinobacteridae,3,,,,
B1253,Actinobacteridae,6,,,,
B1253,Aerococcaceae,6,,,,
B1253,Anaerococcus,1,,,,
B1253,Anaerococcus,1,,,,
B1253,Anaerococcus,1,,,,
B1253,Anaerococcus,1,,,,
B1253,Anaerococcus,1,,,,
B1253,Anaerococcus,1,,,,
B1253,Anaerococcus,11,,,,
B1253,Anaerococcus,2,,,,
B1253,Anaerococcus,2,,,,
B1253,Anaerococcus,21,,,,
B1253,Anaerococcus,3,,,,
B1253,Anaerococcus,4,,,,
B1253,Anaerococcus,6,,,,
B1253,Bacteroidetes,1,,,,
B1253,Bacteroidetes,1,,,,
B1253,Bacteroidetes,2,,,,
B1253,Bacteroidetes,26,,,,
B1253,Bacteroidetes,4,,,,
B1253,Brachybacterium,2,,,,
B1253,Bradyrhizobiaceae,3,,,,
B1253,Branhamella,1,,,,
B1253,Brevibacterium,1,,,,
B1253,Brevibacterium,6,,,,
B1253,Brevundimonas,1,,,,
B1253,Burkholderiales,1,,,,
B1253,Caulobacter,1,,,,
B1253,Chloroplast,1,,,,
B1253,Clostridiales,1,,,,
B1253,Clostridiales,1,,,,
B1253,Clostridiales,2,,,,
B1253,Clostridiales,5,,,,
B1253,Clostridiales,6,,,,
B1253,Corynebacterineae,1,,,,
B1253,Corynebacterineae,2,,,,
B1253,Corynebacterineae,3,,,,
B1253,Corynebacterineae,40,,,,
B1253,Corynebacterium,1,,,,
B1253,Corynebacterium,1,,,,
B1253,Corynebacterium,12,,,,
B1253,Corynebacterium,21,,,,
B1253,Dermabacter,3,,,,
B1253,Dialister,3,,,,
B1253,Finegoldia,5,,,,
B1253,Firmicutes,1,,,,
B1253,Granulicatella,2,,,,
B1253,Lactobacillales,4,,,,
B1253,Mesorhizobium,4,,,,
B1253,Methylobacterium,1,,,,
B1253,Mobiluncus,1,,,,
B1253,Mobiluncus,3,,,,
B1253,Novosphingobium,4,,,,
B1253,Peptococcus,1,,,,
B1253,Peptoniphilus,1,,,,
B1253,Peptoniphilus,1,,,,
B1253,Peptoniphilus,13,,,,
B1253,Peptoniphilus,2,,,,
B1253,Peptoniphilus,4,,,,
B1253,Polyangiaceae,1,,,,
B1253,Porphyromonadaceae,1,,,,
B1253,Porphyromonadaceae,7,,,,
B1253,Porphyromonas,2,,,,
B1253,Porphyromonas,3,,,,
B1253,Prevotella,1,,,,
B1253,Prevotella,2,,,,
B1253,Prevotellaceae,2,,,,
B1253,Staphylococcaceae,2,,,,
B1253,Staphylococcus,30,,,,
B1253,Streptococcus,1,,,,
B1253,Terrimonas,1,,,,
B1253,unidentified,1,,,,
B1253,unidentified,1,,,,
B1253,unidentified,1,,,,
B1253,unidentified,14,,,,
B1253,unidentified,2,,,,
B1253,unidentified,2,,,,
B1253,unidentified,24,,,,
B1253,unidentified,4,,,,
B1253,unidentified,6,,,,
B1253,unidentified,7,,,,
B1253,unidentified,9,,,,
B1254,Acidobacteriaceae,1,,,,
B1254,Acidobacteriaceae,1,,,,
B1254,Acinetobacter,1,,,,
B1254,Actinobacteridae,1,,,,
B1254,Actinobacteridae,1,,,,
B1254,Actinobacteridae,2,,,,
B1254,Actinomycetales,1,,,,
B1254,Aerococcaceae,1,,,,
B1254,Aerococcaceae,1,,,,
B1254,Anaerococcus,1,,,,
B1254,Anaerococcus,1,,,,
B1254,Anaerococcus,1,,,,
B1254,Anaerococcus,1,,,,
B1254,Anaerococcus,2,,,,
B1254,Anaerococcus,3,,,,
B1254,Anaerococcus,4,,,,
B1254,Anaerococcus,6,,,,
B1254,Aquabacterium,3,,,,
B1254,Bacteroidetes,2,,,,
B1254,Bacteroidetes,4,,,,
B1254,Bacteroidetes,7,,,,
B1254,Betaproteobacteria,2,,,,
B1254,Bradyrhizobiaceae,4,,,,
B1254,Branhamella,16,,,,
B1254,Brucellaceae,1,,,,
B1254,Cloacibacterium,1,,,,
B1254,Clostridiales,1,,,,
B1254,Corynebacterineae,1,,,,
B1254,Corynebacterineae,1,,,,
B1254,Corynebacterineae,53,,,,
B1254,Corynebacterium,1,,,,
B1254,Corynebacterium,155,,,,
B1254,Corynebacterium,2,,,,
B1254,Corynebacterium,26,,,,
B1254,Corynebacterium,6,,,,
B1254,Finegoldia,1,,,,
B1254,Flavobacteriaceae,10,,,,
B1254,Methylophilaceae,2,,,,
B1254,Microbacteriaceae,1,,,,
B1254,Microbacteriaceae,1,,,,
B1254,Microbacteriaceae,4,,,,
B1254,Microbacteriaceae,4,,,,
B1254,Microbacteriaceae,7,,,,
B1254,Micrococcus,1,,,,
B1254,Myxococcales,1,,,,
B1254,Novosphingobium,1,,,,
B1254,Phenylobacterium,5,,,,
B1254,Proteobacteria,1,,,,
B1254,Proteobacteria,1,,,,
B1254,Proteobacteria,1,,,,
B1254,Ralstonia,1,,,,
B1254,Rhodospirillales,1,,,,
B1254,Sphingobacteriales,2,,,,
B1254,Staphylococcus,1,,,,
B1254,Staphylococcus,22,,,,
B1254,Terrimonas,2,,,,
B1254,unidentified,3,,,,
B1254,Zimmermannella,12,,,,
B1258,Achromobacter,13,,,,
B1258,Acidobacteriaceae,1,,,,
B1258,Actinobacteridae,1,,,,
B1258,Actinobacteridae,2,,,,
B1258,Actinobacteridae,5,,,,
B1258,Actinomycetales,1,,,,
B1258,Aerococcaceae,16,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,1,,,,
B1258,Anaerococcus,10,,,,
B1258,Anaerococcus,16,,,,
B1258,Anaerococcus,18,,,,
B1258,Anaerococcus,3,,,,
B1258,Anaerococcus,3,,,,
B1258,Anaerococcus,8,,,,
B1258,Bacteroidetes,10,,,,
B1258,Bacteroidetes,6,,,,
B1258,Bradyrhizobiaceae,4,,,,
B1258,Campylobacter,1,,,,
B1258,Chryseobacterium,1,,,,
B1258,Clostridiales,1,,,,
B1258,Clostridiales,1,,,,
B1258,Clostridiales,18,,,,
B1258,Clostridiales,2,,,,
B1258,Clostridiales,3,,,,
B1258,Clostridiales,3,,,,
B1258,Clostridiales,9,,,,
B1258,Coriobacteriaceae,4,,,,
B1258,Corynebacterineae,1,,,,
B1258,Corynebacterineae,14,,,,
B1258,Corynebacterineae,15,,,,
B1258,Corynebacterium,19,,,,
B1258,Corynebacterium,2,,,,
B1258,Corynebacterium,2,,,,
B1258,Crenotrichaceae,2,,,,
B1258,Dermabacter,9,,,,
B1258,Dialister,1,,,,
B1258,Finegoldia,1,,,,
B1258,Firmicutes,1,,,,
B1258,Lactobacillales,9,,,,
B1258,Leuconostoc,1,,,,
B1258,Micrococcaceae,3,,,,
B1258,Mobiluncus,2,,,,
B1258,Novosphingobium,7,,,,
B1258,Peptoniphilus,1,,,,
B1258,Peptoniphilus,1,,,,
B1258,Peptoniphilus,23,,,,
B1258,Peptoniphilus,8,,,,
B1258,Phenylobacterium,5,,,,
B1258,Porphyromonadaceae,1,,,,
B1258,Porphyromonas,22,,,,
B1258,Prevotella,1,,,,
B1258,Prevotella,2,,,,
B1258,Prevotellaceae,1,,,,
B1258,Proteobacteria,1,,,,
B1258,Pseudomonas,1,,,,
B1258,Rhizobiales,1,,,,
B1258,Rhodobacteraceae,1,,,,
B1258,Rhodospirillales,3,,,,
B1258,Sphingobacteriales,3,,,,
B1258,Sphingobacterium,2,,,,
B1258,Staphylococcus,1,,,,
B1258,Staphylococcus,14,,,,
B1258,Streptococcus,4,,,,
B1258,Terrimonas,3,,,,
B1258,unidentified,1,,,,
B1258,unidentified,1,,,,
B1258,unidentified,1,,,,
B1258,unidentified,1,,,,
B1258,unidentified,1,,,,
B1258,unidentified,1,,,,
B1258,unidentified,1,,,,
B1258,unidentified,1,,,,
B1258,unidentified,16,,,,
B1258,unidentified,2,,,,
B1258,unidentified,4,,,,
B1258,unidentified,4,,,,
B1258,unidentified,5,,,,
B1258,Varibaculum,3,,,,
B1258,Veillonellaceae,1,,,,
B1259,Acinetobacter,1,,,,
B1259,Acinetobacter,1,,,,
B1259,Acinetobacter,127,,,,
B1259,Acinetobacter,4,,,,
B1259,Actinobacteridae,11,,,,
B1259,Actinomycetales,1,,,,
B1259,Anaerococcus,1,,,,
B1259,Anaerococcus,4,,,,
B1259,Anaerococcus,6,,,,
B1259,Arsenicicoccus,8,,,,
B1259,Bacillales,1,,,,
B1259,Bacteroidetes,1,,,,
B1259,Bacteroidetes,1,,,,
B1259,Bacteroidetes,1,,,,
B1259,Bacteroidetes,10,,,,
B1259,Bacteroidetes,2,,,,
B1259,Blastococcus,2,,,,
B1259,Brachybacterium,2,,,,
B1259,Bradyrhizobiaceae,1,,,,
B1259,Branhamella,26,,,,
B1259,Burkholderiales,1,,,,
B1259,Burkholderiales,4,,,,
B1259,Chloroplast,5,,,,
B1259,Clostridiales,5,,,,
B1259,Corynebacterineae,1,,,,
B1259,Corynebacterineae,2,,,,
B1259,Corynebacterium,1,,,,
B1259,Corynebacterium,19,,,,
B1259,Corynebacterium,3,,,,
B1259,Erythrobacter,2,,,,
B1259,Fusobacterium,5,,,,
B1259,Gammaproteobacteria,2,,,,
B1259,Gordoniaceae,2,,,,
B1259,Halomonadaceae,1,,,,
B1259,Methylobacterium,1,,,,
B1259,Methylobacterium,1,,,,
B1259,Methylobacterium,1,,,,
B1259,Micrococcus,6,,,,
B1259,Moraxellaceae,3,,,,
B1259,Peptoniphilus,2,,,,
B1259,Peptostreptococcaceae,1,,,,
B1259,Porphyromonadaceae,1,,,,
B1259,Porphyromonadaceae,2,,,,
B1259,Prevotella,1,,,,
B1259,Prevotellaceae,1,,,,
B1259,Propionibacterium,1,,,,
B1259,Pseudomonadaceae,1,,,,
B1259,Pseudomonas,10,,,,
B1259,Pseudonocardiaceae,1,,,,
B1259,Pseudoxanthomonas,2,,,,
B1259,Ralstonia,1,,,,
B1259,Rhodobacteraceae,1,,,,
B1259,Rhodobacteraceae,2,,,,
B1259,Rhodobacteraceae,3,,,,
B1259,Rhodocyclaceae,2,,,,
B1259,Skermanella,1,,,,
B1259,Skermanella,3,,,,
B1259,Sphingomonadaceae,1,,,,
B1259,Sphingomonadaceae,2,,,,
B1259,Sphingomonas,7,,,,
B1259,Sphingopyxis,1,,,,
B1259,Spirosoma,4,,,,
B1259,Staphylococcus,2,,,,
B1259,Staphylococcus,28,,,,
B1259,Stenotrophomonas,1,,,,
B1259,Stenotrophomonas,1,,,,
B1259,Stenotrophomonas,3,,,,
B1259,Streptococcus,1,,,,
B1259,Streptococcus,1,,,,
B1259,Streptococcus,5,,,,
B1259,unidentified,1,,,,
B1259,unidentified,1,,,,
B1259,unidentified,2,,,,
B1259,unidentified,2,,,,
B1259,unidentified,2,,,,
B1259,unidentified,6,,,,
B1259,unidentified,9,,,,
B1259,Weissella,2,,,,
B1259,Xanthomonadaceae,1,,,,
B1259,Xanthomonadaceae,5,,,,
B1260,Acidobacteriaceae,1,,,,
B1260,Acidobacteriaceae,5,,,,
B1260,Acinetobacter,7,,,,
B1260,Actinobacteridae,10,,,,
B1260,Actinomycetaceae,1,,,,
B1260,Aerococcaceae,1,,,,
B1260,Agromonas,1,,,,
B1260,Alphaproteobacteria,1,,,,
B1260,Anaerococcus,1,,,,
B1260,Anaerococcus,1,,,,
B1260,Anaerococcus,1,,,,
B1260,Anaerococcus,1,,,,
B1260,Anaerococcus,1,,,,
B1260,Anaerococcus,1,,,,
B1260,Anaerococcus,1,,,,
B1260,Anaerococcus,12,,,,
B1260,Anaerococcus,2,,,,
B1260,Anaerococcus,36,,,,
B1260,Anaerococcus,38,,,,
