caseid,year,age,sex,polviews,partyid,indus10
251,1974,31.0,1,6.0,0.0,4270.0
252,1974,36.0,1,4.0,0.0,8370.0
253,1974,30.0,2,6.0,3.0,4970.0
254,1974,38.0,2,6.0,0.0,4970.0
255,1974,25.0,2,4.0,1.0,3390.0
257,1974,59.0,1,6.0,1.0,770.0
259,1974,74.0,2,5.0,0.0,8660.0
260,1974,44.0,2,3.0,1.0,8190.0
261,1974,35.0,1,5.0,3.0,490.0
262,1974,75.0,1,4.0,6.0,6080.0
265,1974,72.0,2,4.0,6.0,7580.0
266,1974,57.0,1,4.0,0.0,6170.0
267,1974,38.0,1,3.0,0.0,770.0
268,1974,36.0,2,4.0,0.0,6990.0
270,1974,55.0,2,4.0,0.0,1880.0
271,1974,60.0,1,4.0,0.0,3990.0
272,1974,56.0,1,3.0,4.0,3490.0
274,1974,50.0,2,4.0,0.0,1390.0
275,1974,39.0,2,3.0,5.0,8190.0
276,1974,56.0,1,4.0,2.0,6470.0
277,1974,52.0,1,3.0,2.0,6070.0
278,1974,52.0,2,4.0,6.0,6990.0
279,1974,67.0,2,5.0,2.0,9290.0
280,1974,52.0,2,5.0,5.0,5570.0
281,1974,47.0,1,4.0,1.0,2980.0
282,1974,69.0,1,3.0,2.0,2370.0
283,1974,51.0,2,4.0,1.0,7860.0
285,1974,24.0,2,3.0,5.0,8270.0
286,1974,24.0,1,5.0,5.0,9690.0
287,1974,67.0,1,5.0,2.0,770.0
290,1974,49.0,2,2.0,0.0,2980.0
292,1974,39.0,1,3.0,2.0,7460.0
293,1974,57.0,2,4.0,1.0,3370.0
294,1974,25.0,2,3.0,3.0,8270.0
295,1974,27.0,1,4.0,1.0,770.0
296,1974,42.0,1,2.0,0.0,2280.0
297,1974,43.0,1,4.0,1.0,6370.0
298,1974,62.0,2,4.0,2.0,8270.0
299,1974,26.0,2,2.0,7.0,7860.0
300,1974,69.0,1,6.0,5.0,9290.0
301,1974,41.0,1,5.0,6.0,7270.0
302,1974,41.0,2,6.0,1.0,670.0
303,1974,30.0,2,2.0,2.0,8560.0
304,1974,47.0,2,4.0,3.0,7070.0
305,1974,32.0,1,3.0,0.0,5170.0
306,1974,61.0,1,1.0,1.0,6990.0
307,1974,61.0,1,2.0,1.0,9070.0
308,1974,39.0,2,4.0,5.0,7190.0
309,1974,28.0,2,2.0,1.0,6370.0
310,1974,31.0,1,4.0,1.0,4670.0
311,1974,29.0,1,5.0,4.0,6695.0
312,1974,61.0,1,4.0,1.0,7070.0
313,1974,42.0,2,4.0,1.0,5070.0
314,1974,23.0,2,4.0,3.0,9590.0
315,1974,28.0,1,3.0,7.0,6290.0
316,1974,42.0,1,5.0,1.0,3360.0
318,1974,34.0,2,2.0,0.0,7270.0
319,1974,25.0,2,4.0,1.0,7860.0
320,1974,20.0,1,2.0,3.0,3890.0
321,1974,43.0,1,4.0,2.0,7860.0
322,1974,32.0,2,6.0,4.0,7370.0
323,1974,29.0,2,4.0,1.0,5690.0
324,1974,27.0,1,4.0,1.0,9470.0
325,1974,52.0,1,4.0,5.0,7860.0
326,1974,28.0,2,2.0,5.0,7980.0
327,1974,24.0,2,2.0,1.0,7590.0
328,1974,25.0,2,2.0,2.0,9470.0
329,1974,73.0,1,2.0,0.0,4670.0
330,1974,54.0,1,4.0,1.0,3890.0
331,1974,70.0,2,4.0,0.0,8660.0
332,1974,51.0,2,3.0,0.0,3970.0
333,1974,58.0,2,4.0,6.0,9370.0
334,1974,21.0,1,3.0,2.0,3980.0
335,1974,50.0,1,4.0,5.0,8660.0
337,1974,45.0,2,3.0,5.0,5390.0
338,1974,26.0,2,2.0,5.0,7860.0
339,1974,31.0,1,2.0,2.0,8470.0
340,1974,42.0,1,3.0,1.0,770.0
341,1974,59.0,2,7.0,0.0,9290.0
343,1974,59.0,2,4.0,4.0,3890.0
344,1974,30.0,1,6.0,3.0,8190.0
345,1974,51.0,1,5.0,3.0,770.0
346,1974,51.0,1,3.0,2.0,770.0
347,1974,40.0,2,4.0,1.0,7880.0
348,1974,55.0,2,4.0,6.0,8270.0
349,1974,30.0,1,7.0,1.0,8190.0
350,1974,54.0,1,6.0,1.0,770.0
352,1974,30.0,2,7.0,1.0,8980.0
354,1974,27.0,1,4.0,2.0,9390.0
355,1974,78.0,1,4.0,1.0,1680.0
356,1974,72.0,1,5.0,2.0,770.0
358,1974,46.0,2,4.0,1.0,6680.0
359,1974,26.0,1,6.0,1.0,6870.0
360,1974,76.0,1,3.0,0.0,9590.0
361,1974,57.0,1,6.0,5.0,7860.0
362,1974,43.0,2,5.0,0.0,7860.0
363,1974,60.0,2,6.0,5.0,9070.0
364,1974,22.0,1,5.0,1.0,7860.0
365,1974,53.0,1,4.0,1.0,6290.0
367,1974,57.0,2,5.0,0.0,1870.0
368,1974,25.0,2,4.0,0.0,7870.0
369,1974,18.0,1,4.0,2.0,8680.0
370,1974,61.0,1,4.0,3.0,3570.0
371,1974,59.0,1,3.0,1.0,4970.0
372,1974,52.0,2,4.0,1.0,3190.0
373,1974,61.0,2,4.0,6.0,6990.0
374,1974,30.0,1,2.0,0.0,8090.0
375,1974,50.0,1,4.0,2.0,290.0
377,1974,31.0,2,2.0,1.0,8270.0
378,1974,44.0,2,2.0,0.0,7860.0
379,1974,47.0,1,5.0,1.0,770.0
380,1974,88.0,1,4.0,1.0,8670.0
381,1974,80.0,2,2.0,5.0,8190.0
383,1974,66.0,2,4.0,6.0,7860.0
384,1974,20.0,1,1.0,2.0,3570.0
385,1974,72.0,1,2.0,6.0,290.0
386,1974,72.0,2,6.0,5.0,7860.0
387,1974,42.0,2,3.0,0.0,6890.0
389,1974,34.0,1,3.0,1.0,9480.0
390,1974,63.0,1,4.0,1.0,7860.0
391,1974,62.0,1,5.0,4.0,4380.0
392,1974,53.0,2,4.0,7.0,4780.0
393,1974,60.0,2,3.0,0.0,9480.0
394,1974,27.0,1,3.0,2.0,1370.0
395,1974,45.0,1,2.0,1.0,9490.0
396,1974,67.0,1,2.0,1.0,770.0
400,1974,63.0,1,2.0,1.0,9590.0
401,1974,39.0,2,6.0,3.0,9480.0
402,1974,42.0,2,2.0,1.0,8680.0
403,1974,37.0,2,4.0,3.0,2370.0
404,1974,29.0,1,3.0,6.0,770.0
405,1974,24.0,1,4.0,1.0,6080.0
406,1974,72.0,1,6.0,1.0,7870.0
407,1974,76.0,2,6.0,1.0,4670.0
408,1974,54.0,2,5.0,5.0,7860.0
410,1974,51.0,1,4.0,7.0,770.0
411,1974,33.0,2,3.0,5.0,9290.0
412,1974,59.0,2,4.0,5.0,9070.0
414,1974,26.0,1,4.0,2.0,770.0
415,1974,80.0,1,1.0,0.0,1670.0
416,1974,64.0,1,5.0,5.0,9080.0
417,1974,65.0,2,4.0,3.0,3390.0
418,1974,61.0,2,5.0,6.0,4770.0
419,1974,21.0,1,3.0,4.0,7870.0
420,1974,40.0,1,4.0,3.0,3490.0
421,1974,74.0,1,4.0,0.0,6080.0
422,1974,38.0,2,3.0,1.0,7290.0
423,1974,27.0,2,2.0,2.0,7860.0
424,1974,26.0,1,2.0,1.0,6870.0
425,1974,51.0,1,4.0,2.0,1290.0
426,1974,51.0,2,5.0,5.0,6990.0
427,1974,44.0,2,6.0,1.0,6680.0
428,1974,47.0,2,3.0,4.0,7860.0
429,1974,27.0,1,4.0,5.0,3570.0
430,1974,45.0,1,3.0,1.0,6370.0
431,1974,53.0,2,4.0,1.0,8680.0
433,1974,51.0,2,6.0,0.0,4580.0
435,1974,76.0,1,4.0,2.0,4380.0
436,1974,69.0,1,5.0,6.0,7970.0
437,1974,39.0,2,4.0,1.0,8190.0
438,1974,47.0,2,4.0,1.0,3490.0
440,1974,56.0,1,3.0,1.0,2270.0
441,1974,57.0,1,6.0,5.0,3670.0
443,1974,49.0,2,5.0,3.0,5380.0
444,1974,23.0,1,4.0,4.0,3080.0
445,1974,56.0,1,2.0,2.0,3180.0
446,1974,25.0,2,3.0,3.0,4970.0
447,1974,65.0,2,4.0,4.0,3370.0
448,1974,56.0,2,3.0,2.0,9670.0
449,1974,26.0,1,1.0,2.0,4790.0
450,1974,36.0,1,2.0,0.0,7870.0
451,1974,79.0,2,3.0,0.0,1680.0
452,1974,60.0,2,2.0,0.0,9190.0
453,1974,54.0,2,4.0,0.0,9380.0
454,1974,30.0,1,5.0,1.0,6890.0
455,1974,25.0,1,3.0,2.0,7690.0
456,1974,70.0,1,5.0,6.0,6080.0
458,1974,20.0,2,5.0,4.0,4970.0
459,1974,46.0,2,5.0,3.0,6590.0
460,1974,43.0,1,2.0,0.0,9370.0
461,1974,36.0,1,3.0,1.0,3190.0
462,1974,24.0,2,2.0,2.0,6970.0
463,1974,24.0,2,2.0,0.0,7490.0
464,1974,30.0,2,2.0,2.0,7860.0
465,1974,27.0,1,3.0,3.0,570.0
466,1974,51.0,1,6.0,1.0,6080.0
467,1974,36.0,2,4.0,5.0,8980.0
469,1974,30.0,2,4.0,3.0,5170.0
470,1974,26.0,1,2.0,2.0,6080.0
471,1974,38.0,1,2.0,0.0,6170.0
473,1974,31.0,2,4.0,3.0,3490.0
474,1974,21.0,2,4.0,2.0,8190.0
475,1974,31.0,1,5.0,4.0,2670.0
476,1974,63.0,1,5.0,5.0,170.0
478,1974,40.0,2,2.0,5.0,8680.0
479,1974,43.0,2,4.0,1.0,7860.0
480,1974,47.0,1,4.0,1.0,2670.0
481,1974,48.0,1,2.0,0.0,3570.0
482,1974,44.0,2,2.0,1.0,8680.0
483,1974,34.0,2,4.0,0.0,5592.0
484,1974,42.0,2,5.0,0.0,8680.0
485,1974,26.0,1,4.0,1.0,3570.0
486,1974,76.0,1,6.0,6.0,4870.0
487,1974,42.0,1,3.0,5.0,3570.0
488,1974,38.0,2,4.0,6.0,2190.0
489,1974,56.0,2,4.0,1.0,7860.0
490,1974,28.0,1,4.0,3.0,3570.0
491,1974,39.0,1,4.0,1.0,9670.0
495,1974,18.0,1,4.0,1.0,7690.0
496,1974,37.0,1,2.0,1.0,6370.0
497,1974,48.0,2,4.0,3.0,3490.0
498,1974,28.0,2,6.0,7.0,4970.0
499,1974,23.0,2,4.0,3.0,6680.0
501,1974,73.0,1,2.0,0.0,6180.0
504,1974,46.0,2,4.0,0.0,6890.0
505,1974,23.0,1,5.0,0.0,590.0
506,1974,40.0,1,5.0,5.0,6070.0
509,1974,31.0,2,6.0,2.0,8270.0
510,1974,33.0,1,4.0,0.0,770.0
511,1974,48.0,1,5.0,1.0,6170.0
512,1974,73.0,1,2.0,2.0,4490.0
514,1974,51.0,2,4.0,2.0,7970.0
515,1974,24.0,1,2.0,4.0,9470.0
516,1974,43.0,1,5.0,2.0,2680.0
519,1974,70.0,2,4.0,5.0,6770.0
520,1974,35.0,1,5.0,4.0,9470.0
521,1974,38.0,1,4.0,5.0,4470.0
522,1974,41.0,1,5.0,1.0,3190.0
524,1974,31.0,2,2.0,2.0,6990.0
525,1974,26.0,1,4.0,0.0,770.0
526,1974,57.0,1,2.0,3.0,770.0
527,1974,42.0,1,3.0,2.0,9590.0
528,1974,47.0,2,4.0,1.0,1180.0
529,1974,27.0,2,4.0,1.0,9070.0
530,1974,38.0,1,1.0,2.0,770.0
531,1974,72.0,1,3.0,1.0,4670.0
532,1974,38.0,2,5.0,6.0,4970.0
533,1974,66.0,2,6.0,0.0,9470.0
534,1974,20.0,2,2.0,1.0,5380.0
535,1974,23.0,1,4.0,4.0,770.0
537,1974,28.0,2,3.0,5.0,6870.0
538,1974,28.0,2,5.0,5.0,7980.0
539,1974,31.0,2,5.0,5.0,9090.0
541,1974,46.0,1,6.0,0.0,2070.0
542,1974,29.0,2,2.0,0.0,7860.0
543,1974,37.0,2,7.0,0.0,8190.0
546,1974,74.0,1,2.0,1.0,6680.0
547,1974,40.0,2,2.0,0.0,7860.0
550,1974,24.0,1,4.0,2.0,690.0
551,1974,61.0,1,3.0,5.0,2980.0
552,1974,39.0,1,4.0,2.0,8270.0
554,1974,22.0,2,5.0,4.0,6870.0
555,1974,26.0,1,5.0,2.0,3470.0
556,1974,59.0,1,4.0,2.0,6190.0
558,1974,27.0,2,2.0,2.0,7860.0
559,1974,58.0,2,4.0,2.0,7860.0
560,1974,50.0,1,3.0,0.0,3570.0
561,1974,45.0,1,6.0,1.0,6470.0
562,1974,67.0,2,5.0,6.0,6990.0
563,1974,23.0,2,3.0,3.0,1170.0
564,1974,61.0,2,4.0,6.0,7860.0
565,1974,35.0,1,4.0,1.0,2290.0
567,1974,62.0,2,6.0,1.0,8190.0
569,1974,69.0,1,4.0,3.0,3490.0
570,1974,29.0,2,4.0,1.0,5380.0
571,1974,40.0,2,2.0,0.0,5170.0
574,1974,56.0,1,6.0,2.0,7860.0
575,1974,50.0,2,6.0,0.0,1870.0
576,1974,22.0,2,4.0,2.0,7980.0
577,1974,54.0,2,4.0,2.0,3980.0
578,1974,34.0,1,6.0,0.0,2290.0
579,1974,26.0,1,2.0,3.0,9090.0
580,1974,52.0,2,4.0,2.0,3470.0
581,1974,74.0,2,4.0,1.0,3980.0
582,1974,23.0,2,3.0,2.0,3980.0
583,1974,27.0,1,2.0,1.0,8590.0
584,1974,56.0,1,4.0,3.0,6180.0
585,1974,57.0,1,2.0,0.0,3570.0
586,1974,51.0,2,4.0,0.0,3570.0
587,1974,41.0,2,6.0,3.0,1890.0
588,1974,19.0,1,4.0,1.0,3570.0
589,1974,45.0,1,4.0,3.0,770.0
590,1974,48.0,2,3.0,6.0,3570.0
591,1974,48.0,2,6.0,2.0,6890.0
592,1974,28.0,2,2.0,0.0,7860.0
593,1974,27.0,1,2.0,1.0,8190.0
595,1974,23.0,2,2.0,3.0,7870.0
596,1974,22.0,2,2.0,3.0,9090.0
597,1974,23.0,1,4.0,5.0,2570.0
598,1974,55.0,1,6.0,3.0,3570.0
599,1974,25.0,2,4.0,2.0,5380.0
600,1974,27.0,2,3.0,3.0,8370.0
601,1974,21.0,2,4.0,4.0,6990.0
602,1974,27.0,1,2.0,2.0,770.0
603,1974,65.0,1,2.0,0.0,9470.0
604,1974,40.0,2,4.0,1.0,7860.0
605,1974,46.0,2,3.0,3.0,1870.0
606,1974,39.0,2,4.0,3.0,5380.0
607,1974,61.0,1,4.0,1.0,3570.0
608,1974,66.0,1,3.0,0.0,4970.0
609,1974,53.0,1,3.0,0.0,3570.0
610,1974,63.0,2,4.0,0.0,7690.0
611,1974,33.0,2,2.0,2.0,770.0
612,1974,31.0,1,4.0,0.0,3570.0
613,1974,75.0,1,2.0,0.0,3570.0
614,1974,23.0,2,4.0,1.0,5380.0
615,1974,23.0,2,7.0,6.0,5380.0
616,1974,35.0,2,4.0,5.0,5380.0
618,1974,59.0,1,4.0,2.0,3570.0
619,1974,37.0,2,4.0,1.0,5070.0
620,1974,29.0,2,3.0,7.0,7870.0
621,1974,31.0,2,4.0,7.0,3570.0
622,1974,19.0,1,2.0,1.0,4970.0
623,1974,40.0,1,5.0,1.0,4690.0
625,1974,49.0,2,4.0,3.0,3490.0
627,1974,29.0,1,4.0,1.0,390.0
628,1974,56.0,1,4.0,1.0,390.0
630,1974,61.0,2,4.0,7.0,3580.0
632,1974,19.0,1,5.0,1.0,4670.0
633,1974,50.0,1,4.0,2.0,5090.0
634,1974,41.0,1,5.0,4.0,3170.0
636,1974,24.0,2,5.0,7.0,6990.0
637,1974,62.0,1,4.0,1.0,390.0
638,1974,71.0,1,6.0,6.0,4490.0
639,1974,69.0,1,5.0,5.0,3290.0
640,1974,73.0,2,4.0,0.0,8190.0
641,1974,23.0,2,4.0,5.0,7860.0
642,1974,32.0,1,5.0,0.0,3090.0
643,1974,71.0,1,2.0,0.0,7270.0
644,1974,43.0,1,4.0,5.0,9090.0
645,1974,27.0,2,2.0,5.0,4970.0
648,1974,26.0,1,4.0,3.0,8190.0
649,1974,51.0,1,4.0,0.0,390.0
650,1974,65.0,2,6.0,2.0,6370.0
651,1974,33.0,2,5.0,2.0,8190.0
652,1974,24.0,1,4.0,3.0,770.0
654,1974,65.0,1,5.0,6.0,5390.0
655,1974,47.0,2,6.0,6.0,3570.0
656,1974,35.0,2,4.0,5.0,7860.0
661,1974,61.0,1,5.0,2.0,6680.0
663,1974,26.0,2,5.0,1.0,9590.0
664,1974,30.0,2,3.0,1.0,7860.0
665,1974,47.0,2,4.0,1.0,8190.0
666,1974,48.0,1,7.0,3.0,390.0
671,1974,50.0,1,4.0,2.0,3360.0
672,1974,26.0,2,4.0,4.0,9590.0
673,1974,24.0,2,2.0,7.0,7860.0
675,1974,28.0,1,2.0,3.0,8590.0
676,1974,77.0,1,2.0,0.0,1180.0
677,1974,84.0,2,4.0,3.0,5380.0
679,1974,25.0,2,3.0,4.0,6680.0
680,1974,66.0,1,6.0,5.0,770.0
682,1974,32.0,2,4.0,5.0,5390.0
684,1974,56.0,2,7.0,3.0,7970.0
685,1974,31.0,1,6.0,2.0,7860.0
687,1974,61.0,1,4.0,5.0,5090.0
689,1974,36.0,2,4.0,5.0,9160.0
690,1974,25.0,1,3.0,0.0,7860.0
691,1974,49.0,1,5.0,5.0,7860.0
692,1974,46.0,1,4.0,0.0,770.0
693,1974,60.0,2,4.0,1.0,8190.0
694,1974,76.0,2,6.0,6.0,9290.0
696,1974,49.0,1,6.0,5.0,3070.0
699,1974,28.0,2,5.0,2.0,8660.0
700,1974,44.0,1,7.0,1.0,9290.0
702,1974,46.0,1,7.0,3.0,770.0
704,1974,66.0,2,5.0,3.0,9290.0
705,1974,28.0,1,4.0,2.0,7860.0
706,1974,61.0,1,6.0,5.0,7860.0
709,1974,59.0,2,4.0,2.0,7860.0
710,1974,57.0,1,6.0,2.0,3570.0
711,1974,71.0,1,7.0,2.0,9090.0
712,1974,59.0,1,4.0,5.0,3570.0
