Season,Game,Team,Pd1,Pd2,Pd3,OT,SO Win,Total
2009,20088,NJD,1,2,2,0,0,5
2009,20089,PHI,3,1,2,0,0,6
2009,20089,SJS,4,1,1,0,1,7
2009,20090,DET,1,2,1,0,0,4
2009,20090,STL,0,1,2,0,0,3
2009,20091,CHI,2,1,0,0,0,3
2009,20091,EDM,0,0,0,0,0,0
2009,20092,BOS,2,0,0,0,0,2
2009,20092,TOR,0,2,2,0,0,4
2009,20093,DAL,3,2,0,0,0,5
2009,20093,NYI,0,1,2,0,0,3
2009,20094,CAR,1,0,0,0,0,1
2009,20094,PIT,0,0,4,0,0,4
2009,20095,CGY,0,1,4,0,0,5
2009,20095,NSH,0,3,0,0,0,3
2009,20096,BUF,1,0,2,1,0,4
2009,20096,MIN,0,2,1,0,0,3
2009,20097,COL,0,3,1,0,0,4
2009,20097,EDM,0,1,0,0,0,1
2009,20098,PHX,0,0,2,0,0,2
2009,20098,WSH,0,1,0,0,0,1
2009,20099,ANA,1,3,0,0,0,4
2009,20099,OTT,0,0,3,0,0,3
2009,20100,NJD,3,0,0,0,0,3
2009,20100,PHI,2,2,2,0,0,6
2009,20101,CBJ,1,0,0,0,0,1
2009,20101,NYR,0,2,1,0,0,3
2009,20102,FLA,3,1,0,0,0,4
2009,20102,SJS,1,2,0,0,0,3
2009,20103,ATL,1,0,2,0,0,3
2009,20103,DET,2,2,1,0,0,5
2009,20104,LAK,2,0,2,0,0,4
2009,20104,STL,0,0,0,0,0,0
2009,20105,ATL,2,1,1,0,0,4
2009,20105,BOS,0,3,2,0,0,5
2009,20106,OTT,0,1,1,0,0,2
2009,20106,TOR,1,1,1,0,0,3
2009,20107,ANA,2,3,1,0,0,6
2009,20107,MTL,2,1,1,0,0,4
2009,20108,CAR,2,1,1,0,0,4
2009,20108,NYI,0,1,2,0,0,3
2009,20109,NYR,0,0,2,0,1,3
2009,20109,PIT,1,1,0,0,0,2
2009,20110,NJD,0,2,0,0,0,2
2009,20110,PHI,1,1,0,1,0,3
2009,20111,SJS,0,2,1,0,0,3
2009,20111,TBL,0,0,0,0,0,0
2009,20112,LAK,0,2,2,0,0,4
2009,20112,NSH,3,0,2,0,0,5
2009,20113,CBJ,0,0,1,0,0,1
2009,20113,MIN,1,0,1,0,0,2
2009,20114,DAL,2,1,2,0,0,5
2009,20114,WSH,2,2,1,1,0,6
2009,20115,CHI,1,3,1,0,0,5
2009,20115,DET,1,1,3,0,1,6
2009,20116,FLA,0,0,0,0,0,0
2009,20116,STL,1,2,1,0,0,4
2009,20117,BUF,0,1,0,0,0,1
2009,20117,COL,0,0,1,0,1,2
2009,20118,EDM,0,3,0,0,0,3
2009,20118,VAN,1,2,3,0,0,6
2009,20119,CGY,2,1,1,0,0,4
2009,20119,PHX,1,0,0,0,0,1
2009,20120,BUF,0,0,2,0,0,2
2009,20120,OTT,1,3,1,0,0,5
2009,20121,NYI,1,0,1,0,0,2
2009,20121,NYR,1,1,2,0,0,4
2009,20122,ANA,1,0,2,0,0,3
2009,20122,CBJ,1,1,0,0,0,2
2009,20123,CHI,1,0,1,0,0,2
2009,20123,MIN,1,2,0,0,0,3
2009,20124,BOS,0,0,0,1,0,1
2009,20124,EDM,0,0,0,0,0,0
2009,20125,DET,1,1,1,0,1,4
2009,20125,LAK,1,1,1,0,0,3
2009,20126,NSH,1,1,1,0,0,3
2009,20126,WSH,2,0,1,0,1,4
2009,20127,ATL,0,0,0,0,0,0
2009,20127,PHI,1,2,4,0,0,7
2009,20128,TBL,2,1,0,0,0,3
2009,20128,TOR,1,1,0,0,0,2
2009,20129,MTL,2,0,0,0,1,3
2009,20129,CAR,1,0,1,0,0,2
2009,20130,CGY,0,0,3,0,0,3
2009,20130,COL,0,0,0,0,0,0
2009,20131,BOS,1,0,0,0,0,1
2009,20131,VAN,0,0,0,0,0,0
2009,20132,PIT,0,0,1,0,0,1
2009,20132,SJS,1,0,1,0,0,2
2009,20133,NJD,2,2,1,0,0,5
2009,20133,TOR,0,3,2,0,1,6
2009,20134,DAL,3,1,0,0,0,4
2009,20134,MIN,1,0,1,0,0,2
2009,20135,ANA,1,1,2,1,0,5
2009,20135,DET,1,2,1,0,0,4
2009,20136,BUF,1,1,0,0,0,2
2009,20136,TBL,3,2,0,0,0,5
2009,20137,ATL,1,0,1,0,0,2
2009,20137,NYR,1,0,2,0,0,3
2009,20138,NYI,1,0,1,0,0,2
2009,20138,PHI,2,0,0,1,0,3
2009,20139,FLA,1,0,0,0,0,1
2009,20139,OTT,0,0,2,0,0,2
2009,20140,EDM,0,1,0,0,0,1
2009,20140,NSH,1,1,1,0,0,3
2009,20141,MTL,1,1,0,0,0,2
2009,20141,MIN,1,0,0,0,0,1
2009,20142,CAR,0,0,1,0,0,1
2009,20142,STL,0,0,0,0,0,0
2009,20143,COL,0,1,1,0,0,2
2009,20143,CBJ,1,3,0,0,0,4
2009,20144,BOS,1,0,1,0,0,2
2009,20144,CGY,0,2,1,0,0,3
2009,20145,PHX,0,2,2,0,0,4
2009,20145,PIT,0,1,0,0,0,1
2009,20146,LAK,0,0,0,0,0,0
2009,20146,VAN,2,1,1,0,0,4
2009,20147,DET,0,1,1,0,0,2
2009,20147,SJS,0,3,1,0,0,4
2009,20148,CHI,2,1,2,0,0,5
2009,20148,DAL,1,1,0,0,0,2
2009,20149,ANA,2,3,1,0,0,6
2009,20149,VAN,1,4,1,0,1,7
2009,20150,CAR,1,0,0,0,0,1
2009,20150,EDM,0,1,2,0,0,3
2009,20151,BOS,1,1,3,0,0,5
2009,20151,DAL,1,0,0,0,0,1
2009,20152,BUF,3,1,1,0,0,5
2009,20152,WSH,0,0,0,0,0,0
2009,20153,NYR,1,1,0,0,0,2
2009,20153,TOR,0,0,5,0,0,5
2009,20154,ATL,0,0,1,0,0,1
2009,20154,NJD,1,5,0,0,0,6
2009,20155,MTL,1,0,4,0,0,5
2009,20155,NYI,2,2,0,0,0,4
2009,20156,CHI,1,1,1,0,1,4
2009,20156,CBJ,1,0,2,0,0,3
2009,20157,OTT,0,2,0,0,0,2
2009,20157,TBL,0,1,1,0,1,3
2009,20158,FLA,1,1,0,0,0,2
2009,20158,NSH,1,0,1,0,1,3
2009,20159,PIT,1,3,2,0,0,6
2009,20159,STL,2,0,1,0,0,3
2009,20160,MIN,0,2,1,0,0,3
2009,20160,PHX,1,1,0,0,0,2
2009,20161,CGY,1,1,1,0,0,3
2009,20161,LAK,0,1,1,0,0,2
2009,20162,EDM,2,3,0,0,0,5
2009,20162,PHI,1,2,1,0,0,4
2009,20163,CAR,0,4,2,0,0,6
2009,20163,TOR,1,2,1,0,0,4
2009,20164,ATL,1,3,1,0,0,5
2009,20164,FLA,0,2,1,0,0,3
2009,20165,COL,1,0,2,0,0,3
2009,20165,SJS,2,1,2,0,0,5
2009,20166,ANA,1,2,0,0,0,3
2009,20166,CGY,0,1,1,0,0,2
2009,20167,DET,1,2,0,0,0,3
2009,20167,VAN,0,1,1,0,0,2
2009,20168,BUF,1,0,1,0,0,2
2009,20168,NJD,0,0,0,0,0,0
2009,20169,CBJ,0,0,3,0,0,3
2009,20169,NYI,0,3,0,1,0,4
2009,20170,CHI,0,2,4,0,0,6
2009,20170,COL,1,0,1,0,0,2
2009,20171,NYI,0,0,2,0,0,2
2009,20171,NYR,0,0,1,0,0,1
2009,20172,CAR,4,0,0,1,0,5
2009,20172,TOR,1,2,1,0,0,4
2009,20173,OTT,0,1,0,1,0,2
2009,20173,WSH,0,1,0,0,0,1
2009,20174,CGY,2,0,0,0,0,2
2009,20174,PHX,2,2,0,0,0,4
2009,20175,NSH,0,0,0,0,0,0
2009,20175,VAN,0,1,3,0,0,4
2009,20176,ANA,0,0,0,1,0,1
2009,20176,LAK,0,0,0,0,0,0
2009,20177,MIN,1,0,0,0,0,1
2009,20177,SJS,1,0,2,0,0,3
2009,20178,NJD,0,2,1,0,1,4
2009,20178,TBL,1,0,2,0,0,3
2009,20179,CBJ,1,1,3,0,0,5
2009,20179,EDM,0,2,2,0,0,4
2009,20180,ANA,1,3,1,0,0,5
2009,20180,STL,1,1,0,0,0,2
2009,20181,BOS,2,1,2,0,0,5
2009,20181,TOR,0,0,2,0,0,2
2009,20182,NYR,1,1,3,0,0,5
2009,20182,TBL,0,1,1,0,0,2
2009,20183,CAR,1,1,0,0,0,2
2009,20183,WSH,0,1,2,0,0,3
2009,20184,ATL,1,0,3,0,0,4
2009,20184,NYI,1,2,0,0,0,3
2009,20185,OTT,2,1,1,0,0,4
2009,20185,PHI,0,1,0,0,0,1
2009,20186,EDM,0,1,3,0,0,4
2009,20186,PIT,2,3,0,0,0,5
2009,20187,COL,0,1,0,0,0,1
2009,20187,MIN,2,1,0,0,0,3
2009,20188,CGY,4,2,1,0,0,7
2009,20188,NSH,0,3,3,0,0,6
2009,20189,PHX,0,0,0,0,0,0
2009,20189,VAN,1,0,0,0,0,1
2009,20190,FLA,0,0,2,0,0,2
2009,20190,LAK,2,0,1,0,0,3
2009,20191,SJS,1,1,2,0,1,5
2009,20191,STL,2,0,2,0,0,4
2009,20192,CAR,0,0,2,0,0,2
2009,20192,OTT,0,1,0,0,0,1
2009,20193,MTL,1,0,2,0,0,3
2009,20193,CBJ,1,0,2,0,1,4
2009,20194,ATL,1,2,1,1,0,5
2009,20194,BUF,2,2,0,0,0,4
2009,20195,ANA,1,0,1,0,0,2
2009,20195,DAL,2,2,1,0,0,5
2009,20196,BOS,1,2,0,0,0,3
2009,20196,BUF,1,0,0,0,0,1
2009,20197,MTL,0,3,0,0,0,3
2009,20197,TOR,1,3,2,0,0,6
2009,20198,NYI,1,2,0,0,0,3
2009,20198,PIT,0,2,1,0,1,4
2009,20199,PHI,1,0,0,0,0,1
2009,20199,TBL,0,2,0,0,0,2
2009,20200,NYR,0,0,1,0,0,1
2009,20200,WSH,2,0,1,0,0,3
2009,20201,DET,1,1,1,0,0,3
2009,20201,NJD,0,1,0,0,0,1
2009,20202,CGY,0,1,0,0,0,1
2009,20202,CBJ,1,1,1,0,0,3
2009,20203,COL,0,1,0,0,0,1
2009,20203,NSH,0,0,0,0,0,0
2009,20204,FLA,1,0,0,0,0,1
2009,20204,PHX,0,2,2,0,0,4
2009,20205,MIN,0,0,0,0,0,0
2009,20205,VAN,1,0,1,0,0,2
2009,20206,DAL,0,0,1,0,0,1
2009,20206,SJS,1,0,1,0,0,2
2009,20207,LAK,1,2,2,0,0,5
2009,20207,STL,0,0,3,0,0,3
2009,20208,ATL,0,4,1,0,0,5
2009,20208,CAR,0,2,0,0,0,2
2009,20209,EDM,0,2,0,0,0,2
2009,20209,NJD,0,0,1,0,0,1
2009,20210,CGY,0,1,0,0,0,1
2009,20210,CHI,2,1,3,0,0,6
2009,20211,PHX,2,1,1,0,0,4
2009,20211,SJS,2,0,0,0,0,2
2009,20212,ANA,1,0,0,0,0,1
2009,20212,FLA,1,2,0,0,0,3
2009,20213,EDM,1,1,0,0,1,3
2009,20213,NYR,0,1,1,0,0,2
2009,20214,TBL,0,1,1,0,0,2
2009,20214,WSH,3,0,1,0,0,4
2009,20215,NYI,0,0,1,0,0,1
2009,20215,PHI,0,1,2,0,0,3
2009,20216,DET,2,2,2,0,0,6
2009,20216,PIT,1,1,4,1,0,7
2009,20217,MTL,1,2,1,0,0,4
2009,20217,OTT,0,0,0,0,0,0
2009,20218,CGY,2,1,1,0,0,4
2009,20218,TOR,1,0,2,0,0,3
2009,20219,DAL,1,1,0,0,0,2
2009,20219,LAK,2,0,0,0,1,3
2009,20220,NSH,0,1,2,1,0,4
2009,20220,SJS,1,1,1,0,0,3
2009,20221,BUF,3,0,1,0,0,4
2009,20221,STL,1,1,1,0,0,3
2009,20222,NJD,1,0,1,0,0,2
2009,20222,NYR,0,4,1,0,0,5
2009,20223,CAR,1,0,0,0,0,1
2009,20223,WSH,3,1,1,0,0,5
2009,20224,CBJ,0,0,2,0,0,2
2009,20224,PHX,1,1,3,0,0,5
2009,20225,FLA,1,2,1,0,0,4
2009,20225,TBL,0,0,0,0,0,0
2009,20226,BOS,0,1,0,0,1,2
2009,20226,CHI,0,0,1,0,0,1
2009,20227,COL,0,0,1,0,1,2
2009,20227,VAN,0,1,0,0,0,1
2009,20228,BOS,3,1,2,0,0,6
2009,20228,MTL,0,1,0,0,0,1
2009,20229,NYI,1,1,1,0,0,3
2009,20229,OTT,1,0,0,0,0,1
2009,20230,PHI,0,4,0,0,0,4
2009,20230,PIT,1,2,1,0,1,5
2009,20231,DET,0,1,3,0,0,4
2009,20231,TBL,2,0,1,0,0,3
2009,20232,MIN,0,2,2,0,0,4
2009,20232,PHX,0,0,0,0,0,0
2009,20233,DAL,1,1,0,0,0,2
2009,20233,LAK,2,1,0,0,0,3
2009,20234,EDM,1,1,0,0,0,2
2009,20234,TOR,0,3,2,0,0,5
2009,20235,CGY,0,0,1,0,0,1
2009,20235,SJS,4,1,1,0,0,6
2009,20236,NJD,0,0,1,0,0,1
2009,20236,WSH,1,1,1,0,0,3
2009,20237,BUF,0,1,0,0,0,1
2009,20237,CBJ,3,1,2,0,0,6
2009,20238,ATL,1,1,1,0,0,3
2009,20238,CAR,0,1,1,0,0,2
2009,20239,DET,1,1,1,0,0,3
2009,20239,FLA,0,2,0,0,0,2
2009,20240,CHI,1,1,1,0,0,3
2009,20240,STL,3,0,0,1,0,4
2009,20241,ANA,2,0,1,0,0,3
2009,20241,NSH,2,0,1,1,0,4
2009,20242,MTL,0,0,1,0,0,1
2009,20242,PHI,0,2,0,0,0,2
2009,20243,NJD,1,2,2,0,1,6
2009,20243,WSH,2,1,2,0,0,5
2009,20244,NYI,0,2,1,0,0,3
2009,20244,OTT,0,0,2,0,0,2
2009,20245,BOS,0,2,0,0,0,2
2009,20245,NYR,0,0,2,0,1,3
2009,20246,TOR,0,0,2,0,0,2
2009,20246,VAN,2,2,0,0,0,4
2009,20247,BUF,1,1,0,0,0,2
2009,20247,PIT,0,1,4,0,0,5
2009,20248,CBJ,1,0,1,0,0,2
2009,20248,MIN,1,0,1,0,1,3
2009,20249,DAL,1,2,0,0,0,3
2009,20249,PHX,0,2,0,0,0,2
2009,20250,COL,1,0,1,0,1,3
2009,20250,EDM,1,1,0,0,0,2
2009,20251,LAK,0,1,0,0,0,1
2009,20251,NSH,0,1,2,0,0,3
2009,20252,CAR,0,2,0,0,1,3
2009,20252,TBL,1,1,0,0,0,2
2009,20253,MTL,0,1,1,0,1,3
2009,20253,STL,1,0,1,0,0,2
2009,20254,ATL,0,1,2,0,0,3
2009,20254,PHI,2,1,1,0,0,4
2009,20255,CHI,2,3,0,0,0,5
2009,20255,SJS,2,2,2,0,0,6
2009,20256,ANA,0,1,1,0,0,2
2009,20256,LAK,0,0,0,0,0,0
2009,20257,NYI,0,1,0,0,1,2
2009,20257,VAN,1,0,0,0,0,1
2009,20258,NYR,0,0,1,0,1,2
2009,20258,OTT,0,1,0,0,0,1
2009,20259,CAR,0,0,0,0,0,0
2009,20259,TBL,0,0,0,0,0,0
2009,20260,DET,1,2,1,0,0,4
2009,20260,EDM,0,0,0,0,0,0
2009,20261,NSH,0,0,1,0,0,1
2009,20261,SJS,2,2,0,0,0,4
2009,20262,MIN,1,0,0,0,1,2
2009,20262,PIT,1,0,0,0,0,1
2009,20263,MTL,0,1,0,0,0,1
2009,20263,CAR,0,0,2,0,0,2
2009,20264,CBJ,0,1,1,0,0,2
2009,20264,EDM,2,1,4,0,0,7
2009,20265,FLA,2,1,0,0,1,4
2009,20265,TBL,0,1,2,0,0,3
2009,20266,CHI,2,0,0,0,1,3
2009,20266,PHX,0,1,1,0,0,2
2009,20267,CGY,0,1,3,0,0,4
2009,20267,COL,1,0,0,0,0,1
2009,20268,BOS,3,3,1,0,0,7
2009,20268,BUF,4,0,0,0,0,4
2009,20269,NYR,0,2,1,0,0,3
2009,20269,VAN,2,3,1,0,0,6
2009,20270,ANA,2,0,2,0,0,4
2009,20270,WSH,3,2,1,0,0,6
2009,20271,FLA,0,0,1,0,0,1
2009,20271,NJD,0,1,2,0,0,3
2009,20272,ATL,1,1,0,0,0,2
2009,20272,PIT,1,1,1,0,0,3
2009,20273,MTL,1,0,1,0,1,3
2009,20273,OTT,1,0,1,0,0,2
2009,20274,MIN,0,2,0,0,0,2
2009,20274,VAN,0,2,1,0,0,3
2009,20275,CHI,1,3,2,0,0,6
2009,20275,DAL,1,2,0,0,0,3
2009,20276,CGY,0,1,0,0,0,1
2009,20276,COL,0,0,0,0,0,0
2009,20277,DET,3,1,0,0,0,4
2009,20277,EDM,0,1,2,0,0,3
2009,20278,LAK,1,1,3,0,0,5
2009,20278,WSH,0,1,1,0,0,2
2009,20279,BOS,2,2,0,0,0,4
2009,20279,FLA,1,0,1,0,0,2
2009,20280,NJD,2,2,1,0,0,5
2009,20280,NYI,0,2,0,0,0,2
2009,20281,CAR,1,2,2,0,0,5
2009,20281,PHX,2,0,0,0,0,2
2009,20282,BUF,0,0,0,0,0,0
2009,20282,PHI,1,0,2,0,0,3
2009,20283,NSH,1,0,0,0,0,1
2009,20283,TBL,3,1,0,0,0,4
2009,20284,ANA,0,0,2,0,0,2
2009,20284,STL,1,0,1,1,0,3
2009,20285,PIT,0,0,1,0,0,1
2009,20285,VAN,1,1,1,0,0,3
2009,20286,NYR,0,0,1,0,0,1
2009,20286,OTT,1,2,1,0,0,4
2009,20287,BUF,1,0,1,0,0,2
2009,20287,NYI,1,1,2,0,0,4
2009,20288,CHI,0,2,2,1,0,5
2009,20288,TOR,1,3,0,0,0,4
2009,20289,BOS,0,1,1,0,1,3
2009,20289,MTL,0,1,1,0,0,2
2009,20290,PHI,1,0,2,1,0,4
2009,20290,PHX,1,1,1,0,0,3
2009,20291,ATL,0,0,0,0,0,0
2009,20291,CBJ,1,0,1,0,0,2
2009,20292,MIN,0,1,0,0,0,1
2009,20292,STL,0,2,0,0,0,2
2009,20293,ANA,1,0,0,0,1,2
2009,20293,DAL,0,1,0,0,0,1
2009,20294,CGY,0,1,1,0,0,2
2009,20294,DET,1,1,3,0,0,5
2009,20295,COL,1,1,1,0,1,4
2009,20295,LAK,0,1,2,0,0,3
2009,20296,SJS,3,2,2,0,0,7
2009,20296,WSH,0,1,1,0,0,2
2009,20297,CAR,0,0,2,0,0,2
2009,20297,NSH,1,3,1,0,0,5
2009,20298,NJD,2,3,2,0,0,7
2009,20298,TBL,0,3,0,0,0,3
2009,20299,NYR,1,1,2,0,0,4
2009,20299,PHX,1,0,0,0,0,1
2009,20300,DAL,1,2,0,0,0,3
2009,20300,PHI,2,1,1,0,0,4
2009,20301,MTL,2,1,0,0,0,3
2009,20301,NYI,1,1,1,0,1,4
2009,20302,CAR,0,2,0,0,0,2
2009,20302,FLA,2,1,0,0,0,3
2009,20303,MIN,1,1,2,0,0,4
2009,20303,WSH,0,0,3,0,0,3
2009,20304,DET,1,0,1,0,0,2
2009,20304,VAN,0,1,1,1,0,3
2009,20305,ANA,2,1,1,0,0,4
2009,20305,COL,0,0,1,0,0,1
2009,20306,NSH,0,0,0,0,0,0
2009,20306,STL,0,0,0,0,1,1
2009,20307,ATL,1,3,2,0,0,6
2009,20307,TOR,0,1,2,0,0,3
2009,20308,CGY,2,2,2,0,0,6
2009,20308,LAK,0,0,2,0,0,2
2009,20309,BOS,0,1,1,0,0,2
2009,20309,BUF,2,1,0,0,0,3
2009,20310,NYI,2,1,0,0,0,3
2009,20310,PIT,0,1,4,0,0,5
2009,20311,ATL,1,1,1,0,0,3
2009,20311,WSH,3,1,1,0,0,5
2009,20312,CAR,0,1,0,0,0,1
2009,20312,PHI,1,0,2,0,0,3
2009,20313,CBJ,1,0,1,0,0,2
2009,20313,PHX,0,2,1,0,0,3
2009,20314,NYR,0,2,0,0,1,3
2009,20314,TBL,0,1,1,0,0,2
2009,20315,FLA,0,0,2,0,0,2
2009,20315,NJD,2,0,0,1,0,3
2009,20316,MTL,0,3,0,0,0,3
2009,20316,DET,0,0,1,0,0,1
2009,20317,DAL,1,1,2,0,0,4
2009,20317,MIN,2,1,0,0,0,3
2009,20318,COL,1,1,1,0,0,3
